feature_id,hits,n_prompts,mean_activation,context_specificity,token_specificity,context_specificity_vs_baseline,token_specificity_vs_baseline,firing_rate,composite_score
3280,854,294,2.4529104384940457,0.09374294332399934,0.3602559682654167,0.027346945322900704,0.02912003963458787,0.09498387276165055,0.17461636414281623
3398,141,36,2.9058686410281673,0.0933610974167643,0.27556140075926294,0.02696509941566566,-0.055574527871565915,0.01568234901568235,0.11906634763272957
4945,388,158,3.9824539121893263,0.09260774268388491,0.6129627096317277,0.02621174468278628,0.28182678100089886,0.043154265376487595,0.348611856384442
5644,181,110,2.79758065115681,0.09251212291104162,0.3086755039834927,0.026116124909942987,-0.022460424647336164,0.020131242353464574,0.15995625873057948
1236,12,12,2.8598565459251404,0.09191425965476444,0.9112819922850357,0.025518261653665802,0.5801460636542068,0.001334668001334668,0.26073764721266
3647,318,109,2.5034921420445233,0.09146442668474186,0.37078038291758353,0.02506842868364323,0.03964445428675467,0.0353687020353687,0.1766681564416691
6047,50,47,3.8404778385162355,0.09140421514835972,0.5912191991601662,0.02500821714726109,0.26008327052933733,0.0055611166722277835,0.3266312137174633
4560,123,30,2.9070608247586383,0.09113278969534393,0.34758855705254377,0.024736791694245294,0.01645262842171491,0.013680347013680347,0.1927722433197026
6669,179,140,4.8580341432347645,0.09089559100016219,0.805849875300296,0.024499592999063555,0.4747139466694671,0.019908797686575466,0.4289655084095625
3150,176,150,4.758640321818265,0.09074931156117631,0.7840145933412163,0.02435331356007768,0.4528786647103874,0.019575130686241796,0.41769644395571104
